rank,article_id,clicks
1,N55689,4316
2,N35729,3346
3,N33619,3246
4,N53585,2835
5,N63970,2578
6,N49685,2294
7,N49279,2270
8,N287,2128
9,N23446,1930
10,N51048,1875
11,N58363,1603
12,N62360,1594
13,N38779,1490
14,N41881,1478
15,N42977,1406
16,N40839,1296
17,N4642,1189
18,N56214,1168
19,N26262,1139
20,N41020,1139
21,N7821,1134
22,N52122,1118
23,N49180,1103
24,N59673,1099
25,N54489,1096
26,N47020,1084
27,N33885,1043
28,N45523,1023
29,N19661,881
30,N61022,879
31,N23414,878
32,N1034,864
33,N34185,844
34,N14029,824
35,N47061,820
36,N50675,819
37,N61233,814
38,N3123,771
39,N19592,765
40,N6477,753
41,N18708,732
42,N13930,731
43,N34876,730
44,N32544,728
45,N1539,720
46,N47098,712
47,N53017,707
48,N42457,704
49,N29212,685
50,N14184,675
51,N5442,652
52,N36789,650
53,N35170,631
54,N43502,630
55,N26706,625
56,N23877,615
57,N39010,614
58,N14592,614
59,N13907,613
60,N7319,609
61,N56211,608
62,N20678,578
63,N18870,576
64,N6837,576
65,N40109,570
66,N52622,556
67,N24176,554
68,N48759,551
69,N55943,541
70,N27581,539
71,N41934,533
72,N20495,527
73,N31978,519
74,N39317,517
75,N39115,517
76,N33981,514
77,N24272,509
78,N49712,507
79,N63550,499
80,N55204,481
81,N17059,480
82,N21707,480
83,N56193,474
84,N21420,472
85,N48017,471
86,N62318,470
87,N10960,467
88,N38215,463
89,N31947,462
90,N32182,458
91,N36226,452
92,N6056,448
93,N47652,448
94,N64174,437
95,N62128,435
96,N16096,433
97,N59981,426
98,N42634,426
99,N60992,422
100,N59852,421
101,N12029,420
102,N11817,416
103,N45509,412
104,N41387,404
105,N33212,400
106,N35815,399
107,N27845,399
108,N8509,398
109,N41178,393
110,N33501,390
111,N22417,390
112,N4021,384
113,N7121,379
114,N3841,379
115,N60272,377
116,N7128,371
117,N59390,361
118,N61768,360
119,N30998,352
120,N52867,352
121,N48657,346
122,N15855,337
123,N7618,329
124,N3344,325
125,N41220,321
126,N11830,319
127,N33964,319
128,N14436,319
129,N60105,319
130,N44422,312
131,N43102,310
132,N29128,309
133,N14478,309
134,N26179,308
135,N6926,306
136,N20079,305
137,N7809,303
138,N30518,302
139,N16920,301
140,N9621,299
141,N51570,298
142,N60550,298
143,N56051,296
144,N3663,292
145,N55949,290
146,N15194,289
147,N63154,287
148,N6578,285
149,N50872,279
150,N23814,274
151,N30475,272
152,N64851,272
153,N13801,271
154,N51287,271
155,N8015,270
156,N37204,270
